# ra decN decS
2.050000000000000000e+02 -4.638008379051507291e+01 -5.003734408684249502e+01
2.051629072681704145e+02 -4.596826947083582127e+01 -4.962236570076493081e+01
2.053258145363408573e+02 -4.555645515115702437e+01 -4.920738731468736660e+01
2.054887218045112718e+02 -4.514464083147822748e+01 -4.879240892861025714e+01
2.056516290726817147e+02 -4.473282651179897584e+01 -4.837743054253269293e+01
2.058145363408521291e+02 -4.432101219211972420e+01 -4.796245215645558346e+01
2.059774436090225436e+02 -4.390919787244138206e+01 -4.754747377037801925e+01
2.061403508771929864e+02 -4.349738355276258517e+01 -4.713249538430045504e+01
2.063032581453634009e+02 -4.308556923308333353e+01 -4.671751699822334558e+01
2.064661654135338438e+02 -4.267375491340408189e+01 -4.630253861214578137e+01
2.066290726817042582e+02 -4.226194059372528500e+01 -4.588756022606821716e+01
2.067919799498746727e+02 -4.185012627404603336e+01 -4.547258183999110770e+01
2.069548872180451156e+02 -4.143831195436723647e+01 -4.505760345391399824e+01
2.071177944862155300e+02 -4.102649763468798483e+01 -4.464262506783643403e+01
2.072807017543859729e+02 -4.061468331500918794e+01 -4.422764668175886982e+01
2.074436090225563873e+02 -4.020286899533039104e+01 -4.381266829568130561e+01
2.076065162907268302e+02 -3.979105467565159415e+01 -4.339768990960374140e+01
2.077694235588972447e+02 -3.937924035597234251e+01 -4.298271152352663194e+01
2.079323308270676591e+02 -3.896742603629354562e+01 -4.256773313744906773e+01
2.080952380952381020e+02 -3.855561171661429398e+01 -4.215275475137195826e+01
2.082581453634085165e+02 -3.814379739693549709e+01 -4.173777636529484880e+01
2.084210526315789593e+02 -3.773198307725624545e+01 -4.132279797921728459e+01
2.085839598997493738e+02 -3.732016875757790331e+01 -4.090781959313972038e+01
2.087468671679197882e+02 -3.690835443789865167e+01 -4.049284120706215617e+01
2.089097744360902311e+02 -3.649654011821985478e+01 -4.007786282098504671e+01
2.090726817042606456e+02 -3.608472579854060314e+01 -3.966288443490748250e+01
2.092355889724310885e+02 -3.567291147886180624e+01 -3.924790604883037304e+01
2.093984962406015029e+02 -3.526109715918255461e+01 -3.883292766275280883e+01
2.095614035087719174e+02 -3.484928283950375771e+01 -3.841794927667569937e+01
2.097243107769423602e+02 -3.443746851982473345e+01 -3.800297089059813516e+01
2.098872180451127747e+02 -3.402565420014570918e+01 -3.758799250452057095e+01
2.100501253132832176e+02 -3.361383988046691229e+01 -3.717301411844346148e+01
2.102130325814536320e+02 -3.320202556078788803e+01 -3.675803573236589727e+01
2.103759398496240465e+02 -3.279021124110886376e+01 -3.634305734628878781e+01
2.105388471177944893e+02 -3.237839692142983949e+01 -3.592807896021122360e+01
2.107017543859649038e+02 -3.196658260175104260e+01 -3.551310057413365939e+01
2.108646616541353467e+02 -3.155476828207201834e+01 -3.509812218805609518e+01
2.110275689223057611e+02 -3.114295396239299407e+01 -3.468314380197898572e+01
2.111904761904762040e+02 -3.073113964271419718e+01 -3.426816541590164888e+01
2.113533834586466185e+02 -3.031932532303517291e+01 -3.385318702982408468e+01
2.115162907268170329e+02 -2.990751100335614865e+01 -3.343820864374674784e+01
2.116791979949874758e+02 -2.949569668367735176e+01 -3.302323025766941100e+01
2.118421052631578902e+02 -2.908388236399832749e+01 -3.260825187159207417e+01
2.120050125313283331e+02 -2.867206804431930323e+01 -3.219327348551473733e+01
2.121679197994987476e+02 -2.826025372464027896e+01 -3.177829509943740049e+01
2.123308270676691620e+02 -2.784843940496148207e+01 -3.136331671336006366e+01
2.124937343358396049e+02 -2.743662508528245780e+01 -3.094833832728249945e+01
2.126566416040100194e+02 -2.702481076560343354e+01 -3.053335994120493524e+01
2.128195488721804622e+02 -2.661299644592440927e+01 -3.011838155512759840e+01
2.129824561403508767e+02 -2.620118212624561238e+01 -2.970340316905026157e+01
2.131453634085212911e+02 -2.578936780656658811e+01 -2.928842478297292473e+01
2.133082706766917340e+02 -2.537755348688756385e+01 -2.887344639689558790e+01
2.134711779448621485e+02 -2.496573916720876696e+01 -2.845846801081825106e+01
2.136340852130325914e+02 -2.455392484752974269e+01 -2.804348962474091422e+01
2.137969924812030058e+02 -2.414211052785049105e+01 -2.762851123866357739e+01
2.139598997493734203e+02 -2.373029620817146679e+01 -2.721353285258624055e+01
2.141228070175438631e+02 -2.331848188849266990e+01 -2.679855446650844897e+01
2.142857142857142776e+02 -2.290666756881375932e+01 -2.638357608043111213e+01
2.144486215538847205e+02 -2.249485324913473505e+01 -2.596859769435377530e+01
2.146115288220551349e+02 -2.208303892945582447e+01 -2.555361930827643846e+01
2.147744360902255494e+02 -2.167122460977691389e+01 -2.513864092219910162e+01
2.149373433583959923e+02 -2.125941029009788963e+01 -2.472366253612176479e+01
2.151002506265664067e+02 -2.084759597041897905e+01 -2.430868415004442795e+01
2.152631578947368496e+02 -2.043578165073984110e+01 -2.389370576396686374e+01
2.154260651629072640e+02 -2.002396733106093052e+01 -2.347872737788952691e+01
2.155889724310777069e+02 -1.961215301138190625e+01 -2.306374899181207638e+01
2.157518796992481214e+02 -1.920033869170299567e+01 -2.264877060573473955e+01
2.159147869674185358e+02 -1.878852437202397141e+01 -2.223379221965728902e+01
2.160776942355889787e+02 -1.837671005234506083e+01 -2.181881383357995219e+01
2.162406015037593932e+02 -1.796489573266603657e+01 -2.140383544750261535e+01
2.164035087719298360e+02 -1.755308141298712599e+01 -2.098885706142505114e+01
2.165664160401002505e+02 -1.714126709330815856e+01 -2.057387867534782799e+01
2.167293233082706649e+02 -1.672945277362919114e+01 -2.015890028927037747e+01
2.168922305764411078e+02 -1.631763845395016688e+01 -1.974392190319304063e+01
2.170551378446115223e+02 -1.590582413427125630e+01 -1.932894351711570380e+01
2.172180451127819651e+02 -1.549400981459223203e+01 -1.891396513103813959e+01
2.173809523809523796e+02 -1.508219549491326461e+01 -1.849898674496080275e+01
2.175438596491227941e+02 -1.467038117523438245e+01 -1.808400835888352276e+01
2.177067669172932369e+02 -1.425856685555535819e+01 -1.766902997280607224e+01
2.178696741854636514e+02 -1.384675253587641919e+01 -1.725405158672873540e+01
2.180325814536340943e+02 -1.343493821619739492e+01 -1.683907320065128488e+01
2.181954887218045087e+02 -1.302312389651845592e+01 -1.642409481457394804e+01
2.183583959899749516e+02 -1.261130957683946008e+01 -1.600911642849649752e+01
2.185213032581453660e+02 -1.219949525716051397e+01 -1.559413804241913226e+01
2.186842105263157805e+02 -1.178768093748156964e+01 -1.517915965634176700e+01
2.188471177944862234e+02 -1.139216869787496300e+01 -1.476418127026434490e+01
2.190100250626566378e+02 -1.103638349201243685e+01 -1.434920288418697965e+01
2.191729323308270523e+02 -1.071040987496180108e+01 -1.393422449810962860e+01
2.193358395989974952e+02 -1.040754714280124560e+01 -1.351924611203219939e+01
2.194987468671679096e+02 -1.012442071714484548e+01 -1.310426772595484479e+01
2.196616541353383525e+02 -9.856451338840313880e+00 -1.270144016454369940e+01
2.198245614035087669e+02 -9.601500123014757193e+00 -1.233843776123853075e+01
2.199874686716792098e+02 -9.357557016406431671e+00 -1.200684463228098409e+01
2.201503759398496243e+02 -9.122611981582966934e+00 -1.170050000707700733e+01
2.203132832080200387e+02 -8.895334093238869144e+00 -1.141365227741274779e+01
2.204761904761904816e+02 -8.674584933522851316e+00 -1.114330640143436923e+01
2.206390977443608961e+02 -8.459513209707539616e+00 -1.088604316212065015e+01
2.208020050125313389e+02 -8.249097078775417202e+00 -1.064013439261905702e+01
2.209649122807017534e+02 -8.042591786339333026e+00 -1.040371137721747630e+01
2.211278195488721678e+02 -7.839357431050132163e+00 -1.017513621572669891e+01
2.212907268170426107e+02 -7.638828791076480940e+00 -9.953243447438353542e+00
2.214536340852130252e+02 -7.440505098052043742e+00 -9.737030043553531300e+00
2.216165413533834680e+02 -7.243941884993481573e+00 -9.525650772362114438e+00
2.217794486215538825e+02 -7.048744515625401164e+00 -9.318377635875043197e+00
2.219423558897242970e+02 -6.854563090856900409e+00 -9.114457732919037269e+00
2.221052631578947398e+02 -6.661088493892767026e+00 -8.913315728556963080e+00
2.222681704260651543e+02 -6.468049384430699433e+00 -8.714442176311017363e+00
2.224310776942355972e+02 -6.275209988733316813e+00 -8.517385087797681109e+00
2.225939849624060116e+02 -6.082368559060068236e+00 -8.321743242383938366e+00
2.227568922305764545e+02 -5.889356395123548360e+00 -8.127160919221333657e+00
2.229197994987468689e+02 -5.696037333531742242e+00 -7.933323803117911410e+00
2.230827067669172834e+02 -5.502303676884667816e+00 -7.739955867124995947e+00
2.232456140350877263e+02 -5.308085524918772613e+00 -7.546817072859399289e+00
2.234085213032581407e+02 -5.113347160169177563e+00 -7.353701757590408228e+00
2.235714285714285552e+02 -4.918085143535105175e+00 -7.160437597296535728e+00
2.237343358395989981e+02 -4.722330317013533119e+00 -6.966885048924746471e+00
2.238972431077694125e+02 -4.526148370007613941e+00 -6.772937184235162889e+00
2.240601503759398554e+02 -4.329640276955215583e+00 -6.578519832899717201e+00
